id,type,specimen,proposes,min_age,max_age,agent,standpoint,frames_content,hedge,hedge_wording,negated,grounded_in,correction,applied_to,discriminates_between,discriminating_power,relation,source,label
ex:rf130_claim_alt_leprosy,DiagnosticClaim,ex:rf130,ex:leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Leprosy entertained as a differential diagnosis for Refshale 130
ex:rf130_claim_alt_tuberculosis,DiagnosticClaim,ex:rf130,ex:tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Tuberculosis entertained as a differential diagnosis for Refshale 130
ex:rf130_claim_boldsen,DiagnosticClaim,ex:rf130,,,,ex:boldsen,po:ModernBiomedical,po:ModernBiomedical,po:Probable,,,,,,,,,ex:boldsen2007,Boldsen's earlier analysis of Refshale for leprous bone changes
ex:rf130_claim_systemic,DiagnosticClaim,ex:rf130,ex:systemicDisease,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Probable,changes observed on nearly all the long bones indicate a systemic disease,,ex:rf130_obs_femur|ex:rf130_obs_fibula|ex:rf130_obs_humerus|ex:rf130_obs_radius|ex:rf130_obs_tibia,,,,,,ex:schwarz2013,A systemic disease proposed for Refshale 130
ex:rf130_claim_treponematosis,DiagnosticClaim,ex:rf130,ex:treponematosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,"lesions consistent with treponemal disease are found on several long bones, but only those in skeleton 90 from St. Albani are indicative of treponemal infection",,ex:rf130_obs_femur|ex:rf130_obs_tibia,,,,,,ex:schwarz2013,"Treponemal disease entertained for Refshale 130, at a lower confidence than Sk. 90"
ex:sk90_claim_alt_fungal,DiagnosticClaim,ex:sk90,ex:fungalInfection,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Fungal infection entertained as a differential diagnosis
ex:sk90_claim_alt_leprosy,DiagnosticClaim,ex:sk90,ex:leprosy,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Leprosy entertained as a differential diagnosis
ex:sk90_claim_alt_osteomyelitis,DiagnosticClaim,ex:sk90,ex:pyogenicOsteomyelitis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Pyogenic osteomyelitis entertained as a differential diagnosis
ex:sk90_claim_alt_pagets,DiagnosticClaim,ex:sk90,ex:pagetsDisease,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Paget's disease entertained as a differential diagnosis
ex:sk90_claim_alt_tuberculosis,DiagnosticClaim,ex:sk90,ex:tuberculosis,,,ex:schwarzTeam,po:ModernBiomedical,po:ModernBiomedical,po:Possible,,,,,,,,,ex:schwarz2013,Tuberculosis entertained as a differential diagnosis
